Qty,Value,Device,Package,Parts,Description,MFG,MPN,PN-DK
2,22pF,C-USC0603,C0603,C2,,,,399-9031-1-ND
5,100n,C-USC0603,C0603,C3,,,,399-7969-1-ND
5,1uF,C-USC0603,C0603,C1,,,,399-7848-1-ND
6,10uF,C-USC0805,C0805,C5,,,,490-10496-1-ND
1,400,R-US_R0603,R0603,R6,RESISTOR,,,P402LCT-ND
2,1k,R-US_R0603,R0603,R2,,,,P1.00KHCT-ND
1,10k,R-US_R0603,R0603,R5,RESISTOR,,,P10KGCT-ND
1,51k,R-US_R0603,R0603,R1,RESISTOR,,,P51.0KHCT-ND
1,2.2u,L-USL5050M,L5050M,L5,INDUCTOR,,,240-2714-1-ND
1,32.768,XTAL-3.2X1.5,XTAL3215,X2,Low cost SMT crystals,,,XC1617CT-ND
2,,DIODE-SCHOTTKYSOD-128,SOD-128,D2,,,,CMS06QMCT-ND
2,RED,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,D4,,Lite-On Inc.,LTST-C170GKT,160-1179-1-ND
1,AOZ1280CI,AOZ1280CI,SOT-23-6,U16,IC REG BUCK ADJ 1.2A SOT23-6,Alpha & Omega Semiconductor Inc.,AOZ1280CI,785-1277-1-ND
1,LP5907MFX-3.3/NOPB,LP5907MFX-3.3/NOPB,SOT95P280X145-5N,U1,IC REG LINEAR 3.3V 250MA SOT23,Texas Instruments,LP5907MFX-3.3/NOPB,296-38557-1-ND
1,TPS2115AIPWRQ1-SON8,TPS2115AIPWRQ1-SON8,SON65P300X300X100-9N,U2,AUTO-SWITCHING POWER MULTIPLEXER,Texas Instruments,TPS2115ADRBR,296-23394-1-ND
1,ATSAMD21G18_QFN,ATSAMD21J_QFP,TQFP48_7MM,U4,ARM® Cortex®-M0+ SAM D21G Microcontroller IC 32-Bit 48MHz 256KB (256K x 8) FLASH,Microchip Technology,ATSAMD21G18A,ATSAMD21G18A-AFTCT-ND
1,PJ-002AH-SMT-TR,PJ-002AH-SMT-TR,CUI_PJ-002AH-SMT-TR,J2,Power Barrel Connector Jack 2.00mm ID (0.079),CUI Inc.,PJ-002AH-SMT-TR,CP-002AHPJCT-ND
1,USB-A,USB-A,CUI_UJ2-AH-1-SMT,J3,USB - A USB 2.0 Receptacle Connector,CUI,UJ2-AH-1-SMT-TR,102-4133-1-ND
1,microUSB,USB-MICRO,USB-10118192-0001LF,J1,CONN USB MICRO B RECPT SMT R/A,Amphenol,10118192-0001LF,609-4613-1-ND
1,SPST_TACT-KMR2,SPST_TACT-KMR2,KMR2,SW1,SMT 6mm switch,C&K,KMR211GLFS,401-1426-1-ND
2,TERM-7774,TERM-7774,TERM-7774,U$7,,Keystone Electronics,7774,36-7774-ND